created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 18:02:26 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,en,264,239,carissa_moore,125,207,,[],,
Fri Jun 18 18:02:26 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,en,39,6,SandyHi2244,350,612,,,,
Fri Jun 18 18:02:26 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,en,693,223,ReadingCEP,167,758,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",,"Fresno, CA"
Fri Jun 18 18:02:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,9,11,cfx82073592,401,2200,,"[{'text': 'ThisisIsrael', 'indices': [211, 224]}]",,Time Lord
Fri Jun 18 18:02:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,6,6,herohatta,129,2220,,"[{'text': 'COVID19', 'indices': [72, 80]}, {'text': 'VaccinateToSaveSouthAfrica', 'indices': [81, 108]}]",,
Fri Jun 18 18:02:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,1,1,LeanneWilkinsSA,28,102,,,,
Fri Jun 18 18:02:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,179,36,ElXe_GaX7,252,235,,"[{'text': 'COVID19', 'indices': [38, 46]}]",,Canada 🇨🇦- Xenaverse - 
Fri Jun 18 18:02:43 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,en,,,joannachiu,48404,10696,,,,"Vancouver, British Columbia"
Fri Jun 18 18:02:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,,,MajDowney,38,93,,,,
Fri Jun 18 18:02:48 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,en,352,97,LoisRobb1,1151,1140,,,,"Calgary, Alberta Canada"
Fri Jun 18 18:02:49 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,en,,,myamphealth,371,193,,,,"London, England"
Fri Jun 18 18:02:53 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,en,859,487,ohhDee__,621,723,,"[{'text': 'COVID19', 'indices': [80, 88]}]",,"Miami, FL"
Fri Jun 18 18:02:54 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,en,264,240,demikode99,118,420,,[],,
Fri Jun 18 18:02:57 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,en,219,98,FSzesnat,256,564,,[],,Suffolk
Fri Jun 18 18:03:05 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,en,694,224,Bonnie_bear4,64,406,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",,"Salt Lake City, UT"
Fri Jun 18 18:03:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,70,49,Anuradh19217430,559,772,,"[{'text': 'VaccinationDrive', 'indices': [207, 224]}]",,India
Fri Jun 18 18:03:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,en,0,1,ConservativeMo3,261,708,,"[{'text': 'Healthcare', 'indices': [0, 11]}, {'text': 'equitable', 'indices': [83, 93]}, {'text': 'COVID19', 'indices': [143, 151]}, {'text': 'vaccines', 'indices': [152, 161]}, {'text': 'inequitable', 'indices': [176, 188]}, {'text': 'minorities', 'indices': [248, 259]}, {'text': 'genders', 'indices': [267, 275]}]",,"Indianapolis, IN"
Fri Jun 18 18:03:25 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,en,12,8,tizzywoman,42704,26651,,"[{'text': 'covid19', 'indices': [77, 85]}]",,Geeks Persist Headquarters 
Fri Jun 18 18:03:25 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,en,390,21,Alreidy,2949,1339,,"[{'text': 'VaccinEquity', 'indices': [84, 97]}, {'text': 'GoGiveOne', 'indices': [104, 114]}, {'text': 'COVID19', 'indices': [195, 203]}]",,"Seattle, WA"
